0.081	0.457	NA	0.857	NA	NA	0.468	0.671
0.221	0.244	NA	0.127	NA	NA	0.421	0.695
0.083	0.27	NA	0.112	NA	NA	0.383	0.417
0.784	0.246	NA	0.209	NA	NA	0.349	0.448
0.425	0.568	NA	0.914	NA	NA	0.326	0.306
0.535	0.694	NA	0.155	NA	NA	0.303	0.328
0.698	0.336	NA	0.18	NA	NA	0.294	0.633
0.979	0.297	NA	0.819	NA	NA	0.274	0.424
0.289	0.725	NA	0.868	NA	NA	0.273	0.356
0.069	0.772	NA	0.903	NA	NA	0.262	0.578
0.256	0.308	NA	0.08	NA	NA	0.258	0.351
0.649	0.953	NA	0.886	NA	NA	0.255	0.688
0.722	0.549	NA	0.048	NA	NA	0.206	0.694
0.385	0.253	NA	0.905	NA	NA	NA	0.697
0.801	0.988	NA	0.06	NA	NA	NA	0.674
0.99	0.54	NA	0.881	NA	NA	NA	0.299
0.789	0.357	NA	0.728	NA	NA	NA	0.347
0.335	0.302	NA	0.042	NA	NA	NA	0.404
0.24	0.278	NA	0.796	NA	NA	NA	0.328
0.788	0.733	NA	0.846	NA	NA	NA	0.149
0.807	0.765	NA	0.131	NA	NA	NA	0.372
0.125	0.642	NA	0.972	NA	NA	NA	0.574
0.196	0.755	NA	0.878	NA	NA	NA	0.292
0.893	0.241	NA	0.822	NA	NA	NA	0.460
0.354	0.535	NA	0.776	NA	NA	NA	0.606
0.882	0.299	NA	0.026	NA	NA	NA	0.639
0.681	0.358	NA	0.033	NA	NA	NA	0.325
0.76	0.43	NA	0.033	NA	NA	NA	0.651
0.151	0.76	NA	0.051	NA	NA	NA	0.311
0.159	0.305	NA	0.057	NA	NA	NA	0.348
0.235	0.735	NA	0.062	NA	NA	NA	0.670
0.586	0.844	NA	0.065	NA	NA	NA	0.298
0.506	0.077	NA	0.069	NA	NA	NA	0.572
0.461	0.692	NA	0.07	NA	NA	NA	0.418
0.501	0.722	NA	0.072	NA	NA	NA	0.333
0.767	0.708	NA	0.072	NA	NA	NA	0.487
0.392	0.46	NA	0.079	NA	NA	NA	0.307
0.644	0.414	NA	0.082	NA	NA	NA	0.510
0.882	0.252	NA	0.084	NA	NA	NA	0.280
0.736	0.332	NA	0.151	NA	NA	NA	0.658
0.751	0.524	NA	0.167	NA	NA	NA	0.323
0.975	0.313	NA	0.188	NA	NA	NA	0.321
0.651	0.744	NA	0.208	NA	NA	NA	0.567
0.055	0.633	NA	0.21	NA	NA	NA	0.540
0.215	0.633	NA	0.226	NA	NA	NA	0.701
0.312	0.383	NA	0.23	NA	NA	NA	0.668
0.361	0.502	NA	0.243	NA	NA	NA	0.628
0.347	0.265	NA	0.244	NA	NA	NA	0.551
0.215	0.865	NA	0.281	NA	NA	NA	0.526
0.499	0.715	NA	0.282	NA	NA	NA	0.703
0.053	0.787	NA	0.294	NA	NA	NA	0.670
0.723	0.969	NA	0.687	NA	NA	NA	0.721
0.646	0.735	NA	0.753	NA	NA	NA	0.286
0.239	0.118	NA	0.757	NA	NA	NA	0.568
0.347	0.744	NA	0.775	NA	NA	NA	0.448
0.201	0.332	NA	0.775	NA	NA	NA	0.642
0.152	0.366	NA	0.78	NA	NA	NA	0.588
0.749	0.713	NA	0.783	NA	NA	NA	0.334
0.676	0.689	NA	0.784	NA	NA	NA	0.671
0.042	0.435	NA	0.788	NA	NA	NA	0.633
0.104	0.353	NA	0.799	NA	NA	NA	0.570
0.169	0.008	NA	0.805	NA	NA	NA	0.493
0.199	0.742	NA	0.813	NA	NA	NA	0.377
0.2	0.586	NA	0.817	NA	NA	NA	0.480
0.202	0.594	NA	0.819	NA	NA	NA	0.664
0.247	0.733	NA	0.842	NA	NA	NA	0.331
0.27	0.76	NA	0.851	NA	NA	NA	0.672
0.297	0.947	NA	0.858	NA	NA	NA	0.605
0.307	0.676	NA	0.858	NA	NA	NA	0.565
0.309	0.808	NA	0.858	NA	NA	NA	0.503
0.316	0.709	NA	0.861	NA	NA	NA	0.396
0.326	0.765	NA	0.872	NA	NA	NA	0.535
0.329	0.809	NA	0.872	NA	NA	NA	0.395
0.334	0.572	NA	0.874	NA	NA	NA	0.524
0.335	0.626	NA	0.879	NA	NA	NA	0.443
0.361	0.699	NA	0.897	NA	NA	NA	0.326
0.364	0.725	NA	0.898	NA	NA	NA	0.327
0.365	0.435	NA	0.912	NA	NA	NA	0.500
0.369	0.632	NA	0.912	NA	NA	NA	0.448
0.372	0.733	NA	0.914	NA	NA	NA	0.383
0.389	0.282	NA	0.921	NA	NA	NA	0.339
0.416	0.283	NA	0.924	NA	NA	NA	0.323
0.458	0.291	NA	0.943	NA	NA	NA	0.528
0.458	0.294	NA	0.947	NA	NA	NA	0.389
0.459	0.297	NA	0.951	NA	NA	NA	0.344
0.485	0.297	NA	0.958	NA	NA	NA	0.540
0.485	0.337	NA	0.977	NA	NA	NA	0.458
0.554	0.344	NA	0.983	NA	NA	NA	0.384
0.565	0.346	NA	0.989	NA	NA	NA	0.364
0.594	0.349	NA	0.781	NA	NA	NA	0.376
0.603	0.356	NA	NA	NA	NA	NA	0.376
0.633	0.363	NA	NA	NA	NA	NA	0.324
0.635	0.444	NA	NA	NA	NA	NA	0.445
0.665	0.466	NA	NA	NA	NA	NA	0.390
0.667	0.522	NA	NA	NA	NA	NA	0.352
0.667	0.542	NA	NA	NA	NA	NA	0.372
0.688	0.576	NA	NA	NA	NA	NA	0.527
0.708	0.624	NA	NA	NA	NA	NA	0.667
0.722	0.625	NA	NA	NA	NA	NA	0.580
0.735	0.626	NA	NA	NA	NA	NA	0.360
0.738	0.629	NA	NA	NA	NA	NA	0.433
0.74	0.664	NA	NA	NA	NA	NA	0.354
0.744	0.718	NA	NA	NA	NA	NA	0.113
0.754	0.724	NA	NA	NA	NA	NA	0.830
0.778	0.725	NA	NA	NA	NA	NA	0.362
0.785	0.729	NA	NA	NA	NA	NA	0.565
0.788	0.741	NA	NA	NA	NA	NA	0.413
0.818	0.864	NA	NA	NA	NA	NA	0.396
0.851	0.928	NA	NA	NA	NA	NA	0.392
0.927	NA	NA	NA	NA	NA	NA	0.455
NA	NA	NA	NA	NA	NA	NA	0.583
NA	NA	NA	NA	NA	NA	NA	0.342
NA	NA	NA	NA	NA	NA	NA	0.537
NA	NA	NA	NA	NA	NA	NA	0.363
NA	NA	NA	NA	NA	NA	NA	0.380
NA	NA	NA	NA	NA	NA	NA	0.392
NA	NA	NA	NA	NA	NA	NA	0.579
NA	NA	NA	NA	NA	NA	NA	0.620
NA	NA	NA	NA	NA	NA	NA	0.363
NA	NA	NA	NA	NA	NA	NA	0.308
NA	NA	NA	NA	NA	NA	NA	0.619
NA	NA	NA	NA	NA	NA	NA	0.569
NA	NA	NA	NA	NA	NA	NA	0.572
NA	NA	NA	NA	NA	NA	NA	0.379
NA	NA	NA	NA	NA	NA	NA	0.373
NA	NA	NA	NA	NA	NA	NA	0.703
NA	NA	NA	NA	NA	NA	NA	0.377
NA	NA	NA	NA	NA	NA	NA	0.269
NA	NA	NA	NA	NA	NA	NA	0.730
NA	NA	NA	NA	NA	NA	NA	0.692
NA	NA	NA	NA	NA	NA	NA	0.075
NA	NA	NA	NA	NA	NA	NA	0.550
NA	NA	NA	NA	NA	NA	NA	0.349
NA	NA	NA	NA	NA	NA	NA	0.667
NA	NA	NA	NA	NA	NA	NA	0.419
NA	NA	NA	NA	NA	NA	NA	0.535
NA	NA	NA	NA	NA	NA	NA	0.287
NA	NA	NA	NA	NA	NA	NA	0.319
NA	NA	NA	NA	NA	NA	NA	0.331
NA	NA	NA	NA	NA	NA	NA	0.507
NA	NA	NA	NA	NA	NA	NA	0.718
NA	NA	NA	NA	NA	NA	NA	0.383
NA	NA	NA	NA	NA	NA	NA	0.380
NA	NA	NA	NA	NA	NA	NA	0.365
NA	NA	NA	NA	NA	NA	NA	0.490
NA	NA	NA	NA	NA	NA	NA	0.510
NA	NA	NA	NA	NA	NA	NA	0.438
NA	NA	NA	NA	NA	NA	NA	0.564
NA	NA	NA	NA	NA	NA	NA	0.608
NA	NA	NA	NA	NA	NA	NA	0.640
NA	NA	NA	NA	NA	NA	NA	0.716
NA	NA	NA	NA	NA	NA	NA	0.306
NA	NA	NA	NA	NA	NA	NA	0.295
NA	NA	NA	NA	NA	NA	NA	0.501
NA	NA	NA	NA	NA	NA	NA	0.590
NA	NA	NA	NA	NA	NA	NA	0.724
NA	NA	NA	NA	NA	NA	NA	0.576
NA	NA	NA	NA	NA	NA	NA	0.364
NA	NA	NA	NA	NA	NA	NA	0.403
NA	NA	NA	NA	NA	NA	NA	0.509
NA	NA	NA	NA	NA	NA	NA	0.557
NA	NA	NA	NA	NA	NA	NA	0.282
NA	NA	NA	NA	NA	NA	NA	0.544
NA	NA	NA	NA	NA	NA	NA	0.623
NA	NA	NA	NA	NA	NA	NA	0.685
NA	NA	NA	NA	NA	NA	NA	0.059
NA	NA	NA	NA	NA	NA	NA	0.367
NA	NA	NA	NA	NA	NA	NA	0.428
NA	NA	NA	NA	NA	NA	NA	0.367
NA	NA	NA	NA	NA	NA	NA	0.071
NA	NA	NA	NA	NA	NA	NA	0.340
NA	NA	NA	NA	NA	NA	NA	0.292
NA	NA	NA	NA	NA	NA	NA	0.553
NA	NA	NA	NA	NA	NA	NA	0.646
NA	NA	NA	NA	NA	NA	NA	0.361
NA	NA	NA	NA	NA	NA	NA	0.385
NA	NA	NA	NA	NA	NA	NA	0.341
NA	NA	NA	NA	NA	NA	NA	0.508
NA	NA	NA	NA	NA	NA	NA	0.619
NA	NA	NA	NA	NA	NA	NA	0.544
NA	NA	NA	NA	NA	NA	NA	0.903
NA	NA	NA	NA	NA	NA	NA	0.249
